time,read_ops,read_ops_per_sec,avg_read_latency,write_ops,write_ops_per_sec,avg_write_latency,read_errors,write_errors,memtable_size
0,0,0,0,0,0, 0, 0, 0, 0
0.102449792,69425,677649.0087944737,146,70295,686140.97332672, 145, 0, 0, 3503544
0.203820542,83412,409242.3618420169,147,84443,414300.7332401265, 199, 0, 0, 8556
0.304973333,83412,273505.8805944846,147,84443,276886.5040406664, 199, 0, 0, 8556
0.405886833,83412,205505.55775235014,147,84443,208045.6746425179, 199, 0, 0, 8556
0.506717208,83412,164612.52683567835,147,84443,166647.19229349718, 199, 0, 0, 8556
0.607894667,83412,137214.56121936993,147,84443,138910.5787302457, 199, 0, 0, 8556
0.708887875,83412,117665.99901289045,147,84443,119120.38980776757, 199, 0, 0, 8556
0.810151292,83412,102958.54715491831,147,84443,104231.148964211, 199, 0, 0, 8556
0.911064208,83427,91570.93349451393,284,84449,92692.6985589582, 199, 0, 0, 8856
1.012352208,83623,82602.6745822043,2021,84624,83591.46088808648, 199, 0, 0, 17564
1.112782958,83655,75176.38493525528,2070,84644,76065.14764759724, 199, 0, 0, 18558
1.214024083,83691,68936.85320738403,2159,84679,69750.67561324482, 199, 0, 0, 20296
1.315608583,83731,63644.30962366259,2286,84706,64385.41150806707, 199, 0, 0, 21640
1.415789958,83779,59174.73812171226,2467,84745,59857.042721022044, 198, 0, 0, 23580
1.517056333,83840,55264.92205744611,2708,84797,55895.74899457606, 198, 0, 0, 26164
1.6180002500000001,83891,51848.570480752394,3018,84849,52440.65938803161, 198, 0, 0, 28754
1.718987875,83943,48832.80517612726,3300,84898,49388.36465033239, 198, 0, 0, 31194
1.819855708,83986,46149.81266415876,3487,84924,46665.23814315503, 198, 0, 0, 32482
1.9215220419999999,84043,43737.723618577154,3775,84965,44217.551577792416, 198, 0, 0, 34530
2.022246125,84088,41581.48652652258,4003,85017,42040.876700901084, 198, 0, 0, 37124
2.122830917,84126,39629.157144030796,4198,85046,40062.54069456819, 198, 0, 0, 38570
2.224722917,84175,37836.17247648464,4451,85094,38249.25762653975, 198, 0, 0, 40958
2.325855292,84224,36212.05510493126,4677,85143,36607.17856904401, 198, 0, 0, 43392
2.426918,84275,34725.11226172454,4935,85193,35103.36978834884, 197, 0, 0, 45882
2.528242625,84328,33354.39374613028,5162,85250,33719.07393579365, 197, 0, 0, 48728
2.62889775,84383,32098.243455836193,5426,85305,32448.96078594156, 197, 0, 0, 51462
2.72979725,84439,30932.333894028212,5704,85372,31274.117519167405, 197, 0, 0, 54788
2.83085,84486,29844.746277619797,5905,85422,30175.389017432928, 197, 0, 0, 57282
2.931955125,84544,28835.36629845247,6160,85468,29150.514368803648, 197, 0, 0, 59574
3.032726458,84585,27890.74490278345,6335,85506,28194.432034727215, 197, 0, 0, 61462
3.133749958,84642,27009.812886928485,6614,85571,27306.262831069176, 197, 0, 0, 64700
3.234732542,84686,26180.217035081227,6807,85620,26468.95806324132, 196, 0, 0, 67146
3.33590375,84739,25402.111796540892,7060,85669,25680.89681844088, 196, 0, 0, 69588
3.437019375,84792,24670.212980687662,7311,85709,24937.013920673635, 196, 0, 0, 71580
